Vendor,Vendor Name,Part No,Model,Characteristic,Characteristic Description,Specification,Cp,CpK
DDS00023AA,SENSORTEC INNOVATION INDIA,1312AW500051N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,3.3,2.15,1.78
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Bearing OD,49.018,1.91,1.78
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06670N,THAR 5DOOR (W502),OUTER DIAMETER,Tonner Ring Dia,40.70,1.78,1.78
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),PROFILE,SP1- CTQ Panel Matching Surface,0,1.95,1.77
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00720N,THAR 5DOOR (W502),THICKNESS,Hat Face Thickness,12,1.81,1.77
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),DYNAMIC IMBALANCE,Dynamic Imbalance - 30 GM,30,1.86,1.77
DDS00033AG,STEEL STRIPS WHEELS LTD,0404AAA70781N,THAR 5DOOR (W502),RUNOUT,Lateral Runout - 0.3 mm,0.3,1.92,1.77
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),GAP / FLUSH,Flush1-Fuel Lid Periphery,0,2.08,1.76
DDE00070AA,ESSAE GEARS AND TRANSMISSIONS,0502BAA14010N,THAR 5DOOR (W502),OUTER DIAMETER,Oil Seal OD 46.6,46.6,1.94,1.76
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),PROFILE,SP4- CTQ Panel Matching Surface,0,1.84,1.76
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00720N,THAR 5DOOR (W502),RUNOUT,Top Brake Face Runout,0,1.85,1.76
DDN00013AA,NEW MELTING CENTRE,0601AAA00890N,THAR 5DOOR (W502),THICKNESS,Hat Thickness,7,1.78,1.76
DDU00161AA,UNO MINDARIKA PVT LTD,1705DW500121N,THAR 5DOOR (W502),DIMN - DIMENSION,Slot Dimension,5.5,1.99,1.76
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500691A,THAR 5DOOR (W502),EFFORRS,Recliner lever operating force,40,2.276,1.759
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAC00911N,THAR 5DOOR (W502),THICKNESS,Top side,2.5,5.41,1.75
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,Fascia Bumper RR 4 Way Locator- Z,738.002,3.23,1.74
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06070N,THAR 5DOOR (W502),OUTER DIAMETER,Bearing Dia,49,1.93,1.74
DDM00245AA,MSKH SEATING SYSTEMS INDIA,2401AW500701A,THAR 5DOOR (W502),EFFORRS,HR operating effort UP,50,3.204,1.732
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BKT REINF BMPR REAR LOCATOR Slot 1- Z,738,2.77,1.73
DDJ00038AD,JBM AUTO LIMITED,0101BW502880N,THAR 5DOOR (W502),POSITION,G11.11 WELD NUT 2- X,3800.618,2.20,1.73
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),POSITION,HEADLAMP LOCATOR 1- Y,1246.22,1.74,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500021N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,10,1.95,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500021N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10,1.95,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500021N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10,1.95,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500021N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10.1,1.95,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500021N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10.1,1.95,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500031N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,10,1.95,1.73
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701CW500031N,THAR 5DOOR (W502),INNER DIAMETER,Inner Dia,10.1,1.95,1.73
DDM00096AC,MSL DRIVELINE SYSTEMS LIMITED,0501AAA05691N,THAR 5DOOR (W502),INNER DIAMETER,Flange Yoke Recess Diameter ID,57.02,2.75,1.73
DDM00805AA,MOONLIGHT AUTO PVT LTD,2601AW500240N,THAR 5DOOR (W502),INNER DIAMETER,Clevis pin hole ID,10.05,1.93,1.73
DDY00005AB,YAPP INDIA AUTOMOTIVE SYSTEMS,1001AAB03771N,THAR 5DOOR (W502),THICKNESS,Top side,2.5,5.39,1.73
DDR00083AC,RANE MADRAS LIMITED,1101AAA03621N,THAR 5DOOR (W502),DIMN - DIMENSION,FLAT MILLING CENTRE POINT,6.9,1.831,1.73
DDH00331AB,HANON AUTOMOTIVE SYSTEMS,0304ABH00881N,THAR 5DOOR (W502),DIMN - DIMENSION,Crimp Height,8.5,1.74,1.72
DDS00238AA,SIDDHI FORGE PRIVATE LIMITED,0502BAA15620N004,THAR 5DOOR (W502),OUTER DIAMETER,Grinding OD 31,31.480/31.493,2.07,1.72
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06660N,THAR 5DOOR (W502),OUTER DIAMETER,Bearing OD,49.018,1.95,1.72
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701AW500091N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,9,1.90,1.71
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701AW500111N,THAR 5DOOR (W502),INNER DIAMETER,DImension,9,1.87,1.71
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701AW500121N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,9,1.87,1.71
DDM00001AJ,MINDA CORPORATION LIMITED,2301BW500071D,THAR 5DOOR (W502),TEMP,Knob Hot Stamping Temp,280,1.73,1.71
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00720N,THAR 5DOOR (W502),RUNOUT,Bottom Face Runout,0,1.76,1.71
DDS00238AA,SIDDHI FORGE PRIVATE LIMITED,0502BAA15610N004,THAR 5DOOR (W502),INNER DIAMETER,Gear Mounting ID,140.894/140.914,1.75,1.71
DDS00238AA,SIDDHI FORGE PRIVATE LIMITED,0502BAA15620N004,THAR 5DOOR (W502),OUTER DIAMETER,Grinding OD 35,35.401/35.414,1.82,1.71
DDR00083AC,RANE MADRAS LIMITED,1101AAA03621N,THAR 5DOOR (W502),DIMN - DIMENSION,MILLING LENGTH,25,1.855,1.7
DDH00079AB,HL Mando Anand  India Private Limit,1104AAA07451N,THAR 5DOOR (W502),OTHER,Collapse Stroke,90,        ,1.7
DDJ00038AD,JBM AUTO LIMITED,0101BW502880N,THAR 5DOOR (W502),POSITION,G11.11 WELD NUT 1- Y,147.883,1.68,1.7
DDJ00038AD,JBM AUTO LIMITED,0101BW502880N,THAR 5DOOR (W502),POSITION,G11.11 WELD NUT 2- Y,-147.883,1.84,1.7
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),POSITION,HEADLAMP LOCATOR 1- Y,383.78,1.74,1.7
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),PROFILE,SP2-Fuel Lid Periphery,0,2.05,1.69
DDA00267AA,AAM AUTO COMPONENT (INDIA),0502EUA00201N,THAR 5DOOR (W502),OUTER DIAMETER,SPIGOT OD 141,141.268,3.08,1.69
DDJ00038AD,JBM AUTO LIMITED,0101BW502880N,THAR 5DOOR (W502),POSITION,G11.11 WELD NUT 1- Z,785.5,1.92,1.69
DDJ00038AD,JBM AUTO LIMITED,0101EW503580N,THAR 5DOOR (W502),POSITION,Trim Locator Nut- X,2012.131,2.46,1.69
DDJ00038AD,JBM AUTO LIMITED,0101EW503580N,THAR 5DOOR (W502),POSITION,Trim Locator Nut- Y,-721.703,2.25,1.69
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),POSITION,HEADLAMP LOCATOR 1- X,655.995,1.67,1.69
DDL00022AH,LUMAX INDUSTRIES LIMITED,1701AW500101N,THAR 5DOOR (W502),INNER DIAMETER,Dimension,9,1.90,1.69
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00720N,THAR 5DOOR (W502),INNER DIAMETER,Hub Bore ID,68.065,1.71,1.69
DDN00013AA,NEW MELTING CENTRE,0601AAA00890N,THAR 5DOOR (W502),THICKNESS,Disc thickness,20,1.70,1.69
DDT00446AA,TALBROS ENGINEERING LTD,0502FAA06660N,THAR 5DOOR (W502),OUTER DIAMETER,Tonner Ring Dia,40.70,1.69,1.69
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),INNER DIAMETER,Pressing ID RH side,76.80/76.93,2.269,1.69
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BODY MTG L4- Z,713.65,2.25,1.68
DDJ00038AD,JBM AUTO LIMITED,0101EW503580N,THAR 5DOOR (W502),POSITION,Trim Locator Nut- Z,1636.334,1.91,1.68
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),POSITION,HEADLAMP LOCATOR 1- Z,1007.494,1.67,1.68
DDJ00038AD,JBM AUTO LIMITED,0102FW500040N,THAR 5DOOR (W502),PROFILE,SP4- CTQ Panel Matching Surface,0,1.88,1.68
DDT00065AD,TAKSHI AUTO COMPONENTS PVT LTD,0502BAA13980N,THAR 5DOOR (W502),INNER DIAMETER,Pressing ID LH side,76.80/76.93,2.064,1.676
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503980N,THAR 5DOOR (W502),POSITION,Seat Locator 1- X,2446.737,1.87,1.67
DDE00070AA,ESSAE GEARS AND TRANSMISSIONS,0502BAA14010N,THAR 5DOOR (W502),DIMN - DIMENSION,Step Length,5.85,1.88,1.67
DDJ00038AD,JBM AUTO LIMITED,0101EW503570N,THAR 5DOOR (W502),POSITION,Trim Locator Nut- X,2012.131,1.72,1.67
DDJ00038AD,JBM AUTO LIMITED,0101EW503570N,THAR 5DOOR (W502),POSITION,Trim Locator Nut- Y,721.703,1.94,1.67
DDJ00038AD,JBM AUTO LIMITED,0101EW503570N,THAR 5DOOR (W502),POSITION,Trim Locator Nut- Z,1636.334,2.03,1.67
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),POSITION,HEADLAMP LOCATOR 1- X,655.995,3.02,1.67
DDJ00038AD,JBM AUTO LIMITED,0102FW500030N,THAR 5DOOR (W502),POSITION,HEADLAMP LOCATOR 1- Z,1007.494,3.32,1.67
DDM00125AA,MAHABAL METALS PVT LTD,0601AAA00900N,THAR 5DOOR (W502),THICKNESS,Brake Face Thickness,16,1.74,1.67
DDS00186AB,SKF INDIA LIMITED,0502LAA00551N,THAR 5DOOR (W502),OUTER DIAMETER,Outer Diameter,84,2.58,1.67
DDS00238AA,SIDDHI FORGE PRIVATE LIMITED,0502BAA15620N004,THAR 5DOOR (W502),OUTER DIAMETER,Grinding OD 41,41.676/41.689,1.91,1.67
DDS01789AA,SANJYOT METAL INDUSTRIES,0102AW502370N,THAR 5DOOR (W502),POSITION,Slot 1 - GRILL 2 WAY LOCATOR-X,0,4.08,1.67
DDN00013AA,NEW MELTING CENTRE,0601AAA00890N,THAR 5DOOR (W502),RUNOUT,Top Brake Face Runout,0,1.85,1.64
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),POSITION,FUEL BOX MTG 1- Z,1171.055,2.07,1.63
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),PROFILE,SP1-Fuel Lid Periphery,0,1.98,1.63
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),GAP / FLUSH,Flush2-Fuel Lid Periphery,0,2.01,1.62
DDS00186AB,SKF INDIA LIMITED,0502BAA13621N,THAR 5DOOR (W502),INNER DIAMETER,Bore Diameter,34.938,1.66,1.6
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),PROFILE,SP 1- Matching Surface Heming Flange,0,2.24,1.58
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),POSITION,FUEL BOX MTG 1- Y,-776.339,2.02,1.57
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),PROFILE,SP3- FUEL BOX Matching Surface,0,1.75,1.57
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,CTQ Hole 2- Y,789.597,2.947,1.568
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),POSITION,FUEL BOX MTG 2- X,4135.124,1.62,1.56
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),POSITION,FUEL BOX MTG 2- Y,-772.214,2.02,1.56
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),PROFILE,SP3-Fuel Lid Periphery,0,2.77,1.55
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,BKT REINF BMPR REAR LOCATOR Slot 2- X,4482.3,2.72,1.55
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW503850N,THAR 5DOOR (W502),POSITION,FUEL BOX MTG 2- Z,1121.014,1.86,1.54
DDS00186AB,SKF INDIA LIMITED,0502EAA09561N,THAR 5DOOR (W502),INNER DIAMETER,Bore Diameter,45.631,1.58,1.54
DDS00186AB,SKF INDIA LIMITED,0502BAA13631N,THAR 5DOOR (W502),INNER DIAMETER,Bore Diameter,41.288,1.57,1.53
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503620N,THAR 5DOOR (W502),POSITION,Trim C Locator Hole - X,4445.048,4.12,1.53
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502520N,THAR 5DOOR (W502),POSITION,B PILLAR TRIM  LOCATOR Slot - X,2751,5.04,1.52
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AAA09401N,THAR 5DOOR (W502),DIMN - DIMENSION,Dimension,6.5,1.57,1.51
DDM00106AA,MARQUARDT INDIA PVT LTD.,1805AW500241N,THAR 5DOOR (W502),DIMN - DIMENSION,dimension,6.5,1.57,1.51
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),GAP / FLUSH,Flush4-Fuel Lid Periphery,0,2.20,1.5
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),PROFILE,SP4-Fuel Lid Periphery,0,2.08,1.5
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),PROFILE,SP2- Matching Surface Heming Flange,0,1.94,1.49
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW502800N,THAR 5DOOR (W502),POSITION,Fascia Bumper RR 4 Way Locator- X,4482.3,1.93,1.48
DDD00009AA,DANA ANAND INDIA,0501AAA05881N,THAR 5DOOR (W502),PART WEIGHT,Grease Quantity,1.34,1.5,1.47
DDN00013AA,NEW MELTING CENTRE,0601AAA00890N,THAR 5DOOR (W502),RUNOUT,Bottom Brake Face Runout,0,1.65,1.46
DDS00186AB,SKF INDIA LIMITED,0502LAA00551N,THAR 5DOOR (W502),INNER DIAMETER,Bore Diameter,49,1.71,1.44
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503620N,THAR 5DOOR (W502),POSITION,Trim C Locator Hole - Z,1522.973,5.33,1.44
DDA00003AA,ANANDJI HARIDAS AND-CO MPANY,0101EW504250N,THAR 5DOOR (W502),GAP / FLUSH,Flush3-Fuel Lid Periphery,0,2.06,1.43
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503990N,THAR 5DOOR (W502),POSITION,Seat Locator 2- X,2446.73,2.17,1.43
DDA00267AA,AAM AUTO COMPONENT (INDIA),0502EUA00201N,THAR 5DOOR (W502),OUTER DIAMETER,FLANGE END BEARING OD,45.726,1.62,1.41
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502560N,THAR 5DOOR (W502),POSITION,B-Pillar Trim Locator Slot - X,2751,3.32,1.36
DDN00013AA,NEW MELTING CENTRE,0601AAA00890N,THAR 5DOOR (W502),THICKNESS,DTV Brake Face,0,1.55,1.33
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502990N,THAR 5DOOR (W502),POSITION,LH B PILLAR TRIM LOCATOR Hole 1 - Z,1770.983,4.59,1.33
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW503060N,THAR 5DOOR (W502),POSITION,Body MTG Hole 1-Z,596.101,3.40,1.32
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503620N,THAR 5DOOR (W502),POSITION,RTQ Locator - X,4430.871,3.86,1.31
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),PROFILE,SP3- Matching Surface Heming Flange,0,1.85,1.3
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503620N,THAR 5DOOR (W502),POSITION,RTQ Locator - Z,1268,3.52,1.25
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),PROFILE,SP4- Matching Surface Heming Flange,0,2.30,1.22
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502940N,THAR 5DOOR (W502),POSITION,Nut 1- Z,856,5.13,1.2
DDQ00009AB,QH TALBROS PRIVATE LIMITED,0401EBB01441N,THAR 5DOOR (W502),TORQUE,Rotational Torque -0.3 to 2.5 N..M,1.4,1.25,1.18
DDQ00009AB,QH TALBROS PRIVATE LIMITED,0401EBB01441N,THAR 5DOOR (W502),TORQUE,Rotational Torque 0.3 to 2.5 N.M,1.4,1.25,1.18
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503620N,THAR 5DOOR (W502),POSITION,Trim C Locator Hole - Y,-519.420,3.93,1.15
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503980N,THAR 5DOOR (W502),POSITION,Seat Locator 1- Z,738.384,4.44,1.1
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502980N,THAR 5DOOR (W502),POSITION,Trim Locator Sq Hole - Y,691.485,3.99,1.1
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503760N,THAR 5DOOR (W502),PROFILE,SP1- MATING WITH PANEL HINGE TAILGATE TOP RH,0,2.84,1.08
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,CTQ Hole 1- Y,789.597,1.579,1.079
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,CTQ Hole 1- X,1848.395,1.068,1.068
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503750N,THAR 5DOOR (W502),PROFILE,SP3- MATING WITH PANEL HINGE TAILGATE TOP RH,0,2.59,0.99
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,SP4- Matching Surface Panel,0,1.419,0.987
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502940N,THAR 5DOOR (W502),POSITION,Nut 1- X,3800.618,4.38,0.98
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502940N,THAR 5DOOR (W502),POSITION,Nut 2- X,3800.618,2.90,0.98
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503760N,THAR 5DOOR (W502),PROFILE,SP3- MATING WITH PANEL HINGE TAILGATE TOP RH,0,3.54,0.95
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503620N,THAR 5DOOR (W502),POSITION,RTQ Locator - Y,-518.634,3.55,0.91
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503750N,THAR 5DOOR (W502),PROFILE,SP4- MATING WITH PANEL HINGE TAILGATE TOP RH,0,3.10,0.9
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),PROFILE,SP2- Matching Surface Panel,0,0.913,0.899
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503990N,THAR 5DOOR (W502),POSITION,Seat Locator 2- Z,738.274,2.11,0.87
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503960N,THAR 5DOOR (W502),POSITION,CTQ Hole 2- Z,1135.5,1.256,0.859
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW503060N,THAR 5DOOR (W502),POSITION,Body MTG Hole 2-X,3102.313,2.76,0.81
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),POSITION,Sunroof locator 2- X,3244.844,1.80,0.8
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW503060N,THAR 5DOOR (W502),POSITION,Body MTG Hole 2-Z,596.101,2.33,0.8
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503760N,THAR 5DOOR (W502),PROFILE,SP4- MATING WITH PANEL HINGE TAILGATE TOP RH,0,3.61,0.8
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,CTQ Hole 2- X,1848.395,1.542,0.79
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503760N,THAR 5DOOR (W502),PROFILE,SP2- MATING WITH PANEL HINGE TAILGATE TOP RH,0,3.35,0.78
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503960N,THAR 5DOOR (W502),POSITION,CTQ Hole 2- Y,-789.597,0.928,0.75
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502980N,THAR 5DOOR (W502),POSITION,Trim Locator Slot- Y,724.681,3.48,0.75
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503960N,THAR 5DOOR (W502),POSITION,CTQ Hole 2- X,1848.395,1.245,0.743
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),PROFILE,SP3- Matching Surface Panel,0,1.010,0.73
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW503060N,THAR 5DOOR (W502),POSITION,Body MTG Hole 1-Y,640,2.51,0.71
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),POSITION,Sunroof locator 1- Y,526.456,1.78,0.66
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW503060N,THAR 5DOOR (W502),POSITION,Body MTG Hole 1-X,3102.313,1.60,0.63
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503750N,THAR 5DOOR (W502),PROFILE,SP1- MATING WITH PANEL HINGE TAILGATE TOP RH,0,2.49,0.63
DDA00039AC,ALF ENGINEERING PVT LTD,0101BW503990N,THAR 5DOOR (W502),POSITION,Seat Locator 1- Z,738.384,4.77,0.6
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,SP4- Matching Surface Panel,0,1.311,0.56
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502990N,THAR 5DOOR (W502),POSITION,LH B PILLAR TRIM LOCATOR Hole 2 - Y,-724.681,1.86,0.55
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW502940N,THAR 5DOOR (W502),POSITION,Nut 2- Y,-419.5,2.94,0.53
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW502990N,THAR 5DOOR (W502),POSITION,LH B PILLAR TRIM LOCATOR Hole 1 - Y,-691.485,1.76,0.52
DDS01789AA,SANJYOT METAL INDUSTRIES,0101BW503060N,THAR 5DOOR (W502),POSITION,Body MTG Hole 2-Y,-640,1.75,0.47
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,CTQ Hole 2- Z,1135.5,1.634,0.437
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503960N,THAR 5DOOR (W502),POSITION,CTQ Hole 1- Z,766.5,1.094,0.432
DDM00043AC,MUNGI ENGINEERS PVT LTD,0101DW501120N,THAR 5DOOR (W502),POSITION,Sunroof locator 2- Y,-524.456,1.78,0.42
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),PROFILE,SP1- Matching Surface Panel,0,1.165,0.381
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503960N,THAR 5DOOR (W502),POSITION,CTQ Hole 1- X,1848.395,1.165,0.381
DDS01789AA,SANJYOT METAL INDUSTRIES,0102AW502370N,THAR 5DOOR (W502),POSITION,Slot 1 - GRILL 2 WAY LOCATOR-Z,65.501,3.06,0.37
DDS01789AA,SANJYOT METAL INDUSTRIES,0101EW503750N,THAR 5DOOR (W502),PROFILE,SP2- MATING WITH PANEL HINGE TAILGATE TOP RH,0,2.19,0.34
DDS01789AA,SANJYOT METAL INDUSTRIES,0102AW502370N,THAR 5DOOR (W502),POSITION,Slot 1 - GRILL 2 WAY LOCATOR-Y,66.493,1.86,0.33
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),POSITION,CTQ Hole 1- Z,766.5,1.849,0.294
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),PROFILE,SP1- Matching Surface Panel,0,0.945,0.287
DDM00096AC,MSL DRIVELINE SYSTEMS LIMITED,0501AAA05691N,THAR 5DOOR (W502),RUNOUT,Tube Runout,0.5 MAX,2.08,0.11
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),PROFILE,SP3- Matching Surface Panel,0,0.959,0.063
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503960N,THAR 5DOOR (W502),POSITION,CTQ Hole 1- Y,-789.597,0.841,0.04
DDC00070AG,CIE AUTOMOTIVE INDIA LIMITED,0101EW503950N,THAR 5DOOR (W502),PROFILE,SP2- Matching Surface Panel,0,0.793,0.028
