Serial Number,Attribution,SAP Claim No,Commodity,Decision
S2D18530,,,,RV
S2D21965,,,,RV
S2E30657,,,,RV
S2E34451,,,,RV
S2D16066,,,,MTN
R2J36776,,,,SM
R2J37566,,,,SM
R2M30911,,,,SM
R2K14791,,,,RV
S2C40087,,,,RV
S2E22913,,,,RS
S2D11179,,,,MTN
R2K13563,,,,SM
R2K16005,,,,SM
R2K43309,,,,SM
S2C37421,,,,SM
S2C40875,,,,SM
S2E26359,,,,SM
R2J40537,,,,RV
R2K16317,,,,RV
R2K46134,,,,RV
R2L17102,,,,RV
S2C47213,,,,RV
S2D13923,,,,RV
R2K15921,PSC - DAMAGED,,,RS
S2A21244,PSC - DAMAGED,,,RS
S2E32277,,,,RS
R2J36061,,,,MTN
R2M37880,,,,MTN
S2A12574,,,,MTN
S2A13811,,,,MTN
S2A20258,,,,MTN
S2B25122,,,,MTN
S2B33484,,,,MTN
S2C46735,,,,MTN
S2D12217,,,,MTN
S2E30216,,,,MTN
S2D19178,,,,MTN
R2G18134,,,,RV
R2G18381,,,PDT,RV
R2H29724,,,,RV
R2K12464,,,,RV
R2K12628,,,PDT,RV
R2L17409,,,,RV
R2L18185,,,,RV
R2L19435,,,,RV
R2L22949,,,,RV
R2L25974,,,,RV
R2L25985,,,,RV
R2M35239,,,,RV
S2A11860,,,,RV
S2A11903,,,,RV
S2A22080,,,,RV
S2A22101,,,,RV
S2A22929,,,,RV
S2B24688,,,,RV
S2B27895,,,,RV
S2C44356,,,,RV
S2C47031,,,,RV
S2C48101,,,,RV
S2D16021,,,,RV
S2D21710,,,,RV
S2E28497,,,,RV
S2E30146,,,,RV
S2E35230,,,,RV
R2J40950,,,,RS
R2M36167,,,,RS
S2C42474,,,,RS
R2J31927,,,,MTN
S2B25863,,,,MTN
S2C39338,,,,MTN
S2C43676,,,,MTN
R2J36670,,,,SM
R2J37757,,,,SM
R2J38970,,,,SM
R2K13629,,,,SM
R2K44748,,,,SM
R2K47291,,,BODY,SM
R2L19271,,,,SM
R2L21510,,,,SM
R2M30911,,,,SM
R2M30911,,,,SM
R2M30911,,,,SM
R2M32372,,,,SM
S2A14615,,,,SM
S2A18241,,,,SM
S2A21850,,,,SM
S2B23516,,,,SM
S2B33346,,,,SM
S2C35591,,,,SM
S2C36809,,,,SM
S2C45606,,,,SM
S2C47320,,,,SM
R2J35036,,,,RV
R2J36450,,,,RV
R2J38970,,,,RV
R2K44459,,,,RV
R2L25842,,,,RV
R2L26128,,,,RV
R2L26128,,,,RV
R2M34592,,,,RV
R2M36413,,,ELC,RV
S2A21059,,,,RV
S2A21059,,,,RV
S2B29304,,,PDT,RV
S2B33346,,,,RV
S2C41200,,,,RV
S2D12410,,,,RV
S2D12734,,,,RV
S2D17724,,,,RV
S2E28573,,,,RV
S2F42068,,,,RV
S2C43177,,,,RS
R2K45925,,,,PSC
R2M35925,,,,PSC
R2J36330,,,,MTN
R2J40838,,,PDT,MTN
R2J41366,,,,MTN
R2K43223,,,,MTN
S2B33001,,,,MTN
S2D11282,,,,MTN
S2A12999,CQS,,,CQS
R2J39209,,,,SM
R2J41483,,,,SM
R2J41863,,,,SM
R2K12541,,,,SM
R2K44852,,,,SM
R2L18226,,,,SM
R2M30911,,,,SM
R2M36710,,,HVAC,SM
R2M37688,,,,SM
S2B33027,,,,SM
S2B33472,,,,SM
R2J30629,,,,RV
R2J30632,,,,RV
R2J33790,,,,RV
R2J36298,,,,RV
R2J36450,,,,RV
R2J36450,,,,RV
R2J40003,,,,RV
R2K11728,,,,RV
R2K13561,,,,RV
R2K14921,,,,RV
R2K15735,,,,RV
R2K46418,,,,RV
R2L17713,,,ESS,RV
R2L21210,,,,RV
R2L21210,,,,RV
R2L22426,,,,RV
R2L25670,,,,RV
R2L27246,,,,RV
R2M30843,,,,RV
S2A14189,,,,RV
S2A21713,,,,RV
S2B25397,,,,RV
S2B25446,,,,RV
S2B29491,,,,RV
S2B31799,,,,RV
S2B34974,,,,RV
S2C40885,,,,RV
S2D11094,,,,RV
S2D12442,,,,RV
S2D16128,,,,RV
S2D21433,,,,RV
S2E26033,,,,RV
S2E30977,,,,RV
S2E31512,,,,RV
S2E33887,,,,RV
R2G18548,,,,RS
R2G18548,,,,RS
R2J34921,,,,RS
R2K12732,,,,RS
S2A12999,,,,RS
S2B25820,,,,RS
S2C41455,PSC - DNR,,,RS
S2C45972,,,,RS
S2C45972,,,,RS
R2J34286,,,,MTN
R2J42492,,,,MTN
R2L25511,,,,MTN
R2L27905,,,,MTN
R2M38353,,,,MTN
S2A15687,,,,MTN
S2C38050,,,,MTN
S2C38050,,,,MTN
S2C39333,,,,MTN
S2C39711,,,,MTN
S2C40975,,,,MTN
S2C41357,,,,MTN
S2D14427,,,,MTN
S2D18583,,,,MTN
S2D19942,,,,MTN
S2E24056,,,,MTN
S2E24832,,,,MTN
S2E24832,,,,MTN
S2E26033,,,,MTN
S2E28954,,,,MTN
S2C45371,,,,RV
R2K49186,,,,MTN
S2A13750,,,,MTN
S2B35147,,,,MTN
R2J38332,,,,RV
R2J38534,,,,RV
R2J38534,,,,RV
R2J40520,,,,RV
R2J41327,,,,RV
R2J41327,,,,RV
R2K12097,,,,RV
R2K12933,,,,RV
R2K14085,,,,RV
R2K43068,,,,RV
R2K43309,,,,RV
R2K43309,,,,RV
R2K43562,,,,RV
R2K44825,,,,RV
R2K48383,,,,RV
S2C40215,,,,RV
S2C40446,,,,RV
S2C41438,,,,RV
S2E26447,,,,MTN
R2H27730,DESIGN SCRAP,,,SM
R2J30715,,,,SM
R2J35063,,,,SM
R2J37809,DESIGN SCRAP,,,SM
R2K10149,DESIGN SCRAP,,,SM
R2K11864,DESIGN SCRAP,,,SM
R2K12043,DESIGN SCRAP,,,SM
R2K12535,DESIGN SCRAP,,,SM
R2K45053,DESIGN SCRAP,,,SM
R2K48011,DESIGN SCRAP,,,SM
R2K49370,DESIGN SCRAP,,,SM
R2K49370,DESIGN SCRAP,,,SM
R2K49370,DESIGN SCRAP,,,SM
R2L21510,,,,SM
R2L24162,DESIGN SCRAP,,,SM
R2M30576,DESIGN SCRAP,,,SM
R2M31641,,,,SM
R2M31801,DESIGN SCRAP,,,SM
S2A10089,,,,SM
S2A12244,M&M PROCESS ISSUE,,,SM
S2A12244,M&M PROCESS ISSUE,,,SM
S2A15276,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16063,DESIGN SCRAP,,,SM
S2A16752,DESIGN SCRAP,,,SM
S2A16752,DESIGN SCRAP,,,SM
S2A16752,DESIGN SCRAP,,,SM
S2A21340,,,DAC,SM
S2B24657,,,,SM
S2B28024,,,,SM
S2B28218,,,,SM
S2B29660,DESIGN SCRAP,,,SM
S2B32889,DESIGN SCRAP,,,SM
S2C35865,DESIGN SCRAP,,,SM
S2C36375,,,,SM
S2D14849,,,,SM
S2D21550,DESIGN SCRAP,,,SM
R2H19358,,,,RV
R2H21816,,,,RV
R2H22666,,,,RV
R2H23277,,,,RV
R2H25853,,,,RV
R2H29721,,,,RV
R2H29874,,,,RV
R2J33570,,,ELC,RV
R2J33775,,,,RV
R2J36044,,,,RV
R2J40122,,,,RV
R2J40484,,,,RV
R2J41860,,,,RV
R2J41954,,,,RV
R2J42453,,,,RV
R2J42499,,,,RV
R2K10563,,,,RV
R2K14361,,,,RV
R2K43094,,,,RV
R2K44671,,,,RV
R2K45044,,,,RV
R2K45597,,,,RV
R2K46963,,,,RV
R2L17224,,,,RV
R2L18101,,,,RV
R2L18862,,,,RV
R2L19384,,,ELC,RV
R2L26032,,,,RV
R2L26272,,,,RV
R2L26291,,,,RV
R2L26378,,,,RV
R2L27020,,,ELC,RV
R2L27124,,,ELC,RV
R2M30451,,,,RV
R2M30722,,,,RV
R2M30722,,,,RV
R2M31756,,,BODY,RV
R2M31888,,,,RV
R2M31977,,,,RV
R2M32787,,,BODY,RV
R2M32990,,,,RV
R2M33258,,,,RV
R2M33487,,,,RV
R2M33538,,,,RV
R2M33966,,,,RV
R2M34055,,,,RV
R2M34076,,,,RV
R2M34109,,,,RV
R2M34445,,,BODY,RV
R2M34989,,,,RV
R2M35103,,,,RV
R2M36592,,,ELC,RV
R2M37078,,,BODY,RV
R2M37123,,,ELC,RV
R2M37518,,,,RV
R2M38626,,,,RV
S2A10763,,,,RV
S2A12244,,,BODY,RV
S2A12295,,,,RV
S2A12722,,,,RV
S2A15026,,,,RV
S2A15597,,,,RV
S2A17260,,,,RV
S2A22773,,,,RV
S2B23633,,,,RV
S2B24331,,,BODY,RV
S2B24610,,,,RV
S2B25445,,,,RV
S2B27129,,,,RV
S2B27220,,,,RV
S2B27276,,,,RV
S2B28387,,,,RV
S2B29431,,,,RV
S2B30914,,,,RV
S2B32033,,,,RV
S2B32213,,,ELC,RV
S2B35192,,,,RV
S2C36667,,,,RV
S2C37318,,,,RV
S2C37587,,,,RV
S2C37718,,,,RV
S2C38454,,,,RV
S2C38850,,,,RV
S2C39064,,,ELC,RV
S2C40003,,,,RV
S2C42205,,,,RV
S2C44797,,,,RV
S2C47190,,,,RV
S2C48076,,,,RV
S2D12188,,,,RV
S2D14187,,,,RV
S2D16200,,,,RV
S2D18363,,,,RV
S2D18886,,,,RV
S2D22076,,,,RV
S2E29523,,,,RV
R2J37240,,,,RS
R2M34021,,,,RS
S2B35193,,,,RS
R2J41978,,,,MTN
R2K15871,,,,MTN
R2M35277,,,,MTN
S2B26744,,,,MTN
S2B29255,,,,MTN
S2B35025,,,,MTN
S2B35025,,,,MTN
S2C39790,,,,MTN
S2C43177,,,,MTN
S2D10555,,,,MTN
S2D11242,,,,MTN
S2E26322,,,,MTN
R2K49645,,,,RV
R2M36211,,,,RS
R2J35674,,,,MTN
R2L17616,,,,SM
R2K44886,,,,MTN
R2L26806,,,,MTN
R2M34135,,,,RV
S2B25499,,,,RS
R2J33770,,,,MTN
R2K12290,,,,MTN
R2M30911,,,,MTN
S2B26841,,,,MTN
R2G18108,,,,SM
R2H19091,,,,SM
R2H25713,,,ELC,SM
R2H26324,,,,SM
R2H28501,,,ELC,SM
R2H29634,,,,SM
R2H29634,,,ELC,SM
R2J30998,,,ELC,SM
R2J35519,,,ELC,SM
R2J35882,,,,SM
R2J36991,,,ELC,SM
R2J37802,,,,SM
R2J38016,,,ELC,SM
R2J38932,,,ELC,SM
R2J39265,,,ELC,SM
R2K10933,,,,SM
R2K11638,,,DAC,SM
R2K12974,,,ELC,SM
R2K15535,,,ELC,SM
R2K43141,,,ELC,SM
R2K44472,,,ELC,SM
R2K44719,,,,SM
R2K46208,,,,SM
R2K48842,,,ELC,SM
R2K48872,,,,SM
R2K48982,,,ELC,SM
R2L17536,,,,SM
R2L19436,,,ELC,SM
R2L22504,,,ELC,SM
R2M28661,,,,SM
R2M29318,,,,SM
R2M29583,,,,SM
R2M32378,,,ELC,SM
R2M39474,,,ELC,SM
R2K11676,,,,RV
R2K48613,,,BODY,RV
R2M32579,,,DAC,RV
R2K12290,,,,SM
R2H22105,,,,RV
R2H22478,,,,RV
R2H23031,,,,RV
R2H23055,,,,RV
R2H23748,,,,RV
R2H23768,,,,RV
R2H24189,,,,RV
R2H24832,,,BODY,RV
R2H29619,,,,RV
R2H29836,,,ELC,RV
R2J32201,,,BODY,RV
R2J34279,,,,RV
R2J35310,,,,RV
R2J37116,,,,RV
R2J37546,,,,RV
R2J40814,,,,RV
R2J40814,,,,RV
R2J40943,,,ELC,RV
R2J42413,,,,RV
R2K10760,,,,RV
R2K10866,,,ELC,RV
R2K11728,,,BODY,RV
R2K12710,,,,RV
R2K13321,,,,RV
R2K43329,,,,RV
R2K43329,,,,RV
R2K43495,,,,RV
R2K44004,,,,RV
R2K45483,,,,RV
R2K45722,,,ELC,RV
R2K46004,,,,RV
R2K46074,,,,RV
R2K46702,,,,RV
R2K47047,,,ELC,RV
R2K47184,,,,RV
R2K48962,,,BODY,RV
R2K49193,,,,RV
R2K49582,,,,RV
R2K49749,,,,RV
R2K49859,,,ELC,RV
R2K49966,,,ELC,RV
R2L16662,,,,RV
R2L17947,,,,RV
R2L19366,,,BODY,RV
R2L21034,,,,RV
R2L21683,,,,RV
R2L22306,,,,RV
R2L22983,,,ELC,RV
R2L23973,,,,RV
R2L26262,VENDOR DEBIT,,ELC,RV
R2L27326,,,,RV
R2M32676,,,,RV
S2A21490,,,,RV
S2B28711,,,BODY,RV
S2B29491,,,BODY,RV
S2B31975,,,,RV
S2B32070,,,,RV
S2B34697,,,,RV
S2C37242,,,,RV
S2C42218,,,ELC,RV
S2C45653,,,,RV
S2C46004,,,,RV
S2D11066,,,,RV
S2D12570,,,ELC,RV
S2D12587,,,,RV
S2D18766,,,,RV
S2D21607,,,,RV
S2D22063,,,,RV
S2E22586,,,,RV
S2E25612,,,,RV
S2E28211,,,,RV
S2E28211,,,,RV
S2E31434,,,,RV
R2H25863,,,,RS
R2J36351,,,,RS
R2L28119,,,,RS
R2M33506,,,,RS
S2C41357,,,,RS
R2M33487,,,,PSC
S2A20159,,,,PSC
S2C38394,,,ELC,PSC
R2J32765,,,,MTN
R2K12112,,,,MTN
R2K49251,,,,MTN
R2M30216,,,,MTN
R2M34666,,,,MTN
R2M34998,,,,MTN
R2M38939,,,,MTN
S2B23300,,,,MTN
S2C47989,,,,MTN
S2C47989,,,,MTN
S2D16066,,,,MTN
S2D22038,,,,MTN
S2D22038,,,,MTN
R2J35035,,,,SM
R2J35035,,,,SM
R2J40169,,,ELC,SM
R2K12290,,,,SM
R2L25337,,,,SM
R2L27289,,,ELC,SM
S2A17597,,,,SM
S2A17597,,,,SM
S2B24681,,,,SM
S2C43017,,,,SM
S2E30056,,,,SM
R2G17355,,,,RV
R2H30523,,,,RV
R2J31777,,,,RV
R2J32566,,,ELC,RV
R2J34851,,,,RV
R2K12637,,,,RV
R2K43357,,,,RV
R2K44858,,,ELC,RV
R2K45682,,,,RV
R2L17425,,,,RV
R2L18672,,,ELC,RV
R2L20158,,,ELC,RV
R2M32992,,,,RV
S2A16872,,,,RV
S2B24851,,,,RV
S2B34670,,,,RV
S2C39811,,,,RV
S2C43025,,,,RV
S2C44363,,,,RV
S2D12603,,,ELC,RV
S2D18777,,,,RV
S2E26786,,,,RV
S2D16128,,,,RS
R2H20770,,,,MTN
R2J32344,,,,MTN
R2K10387,,,,MTN
R2L22426,,,,MTN
R2L25839,,,,MTN
R2L27732,,,,MTN
R2M28895,,,,MTN
R2M30714,,,,MTN
R2M35388,,,,MTN
R2M37410,,,,MTN
R2M38737,,,,MTN
R2M38737,,,,MTN
S2C41395,,,,MTN
S2C46084,,,,MTN
S2D10448,,,,MTN
S2E26786,,,,MTN
S2A14189,,,,Hold
S2A14189,,,,Hold
S2A14189,,,,Hold
S2A14189,,,,Hold
R2L20466,,,,SM
R2L21657,,,,SM
R2L23003,,,,SM
R2L23953,,,ELC,SM
R2L24464,,,ELC,SM
R2L26262,,,,SM
R2M32157,,,ELC,SM
R2M32157,,,ELC,SM
R2M34082,,,,SM
S2A12673,,,,SM
S2B31900,,,ELC,SM
S2C43895,,,,SM
S2C43905,,,,SM
S2D18688,,,,SM
S2D20302,,,,SM
R2M33015,,,ELC,PSC
S2A12521,,,,RV
S2B24796,,,,RV
S2B34247,,,,RV
S2C47190,,,,RV
S2A12842,,,,MTN
S2A15793,,,,MTN
S2B26827,,,,MTN
S2B28133,,,ELC,MTN
S2B28387,,,,MTN
R2K46878,,,,RV
S2C40039,,,,RV
R2M28967,,,,MTN
S2A22072,,,,MTN
S2B30947,,,,MTN
S2C42412,,,,MTN
R2L19587,,,,SM
S2A17597,CQS,,,SM
S2B25884,,,,SM
S2B33207,,,,SM
S2B34790,,,,SM
S2B35213,,,,SM
S2C41509,,,,SM
R2H25483,,,,RV
R2L25587,,,,RV
S2D17252,,,,RV
S2D16200,MTN,,,MTN
R2K43585,,,,RV
R2K43585,,,,RV
R2L17589,,,,RV
R2L17814,,,,RV
R2L17814,,,,RV
R2L17814,,,,RV
S2A11841,,,,RV
S2C39324,,,,RV
S2E25396,,,,RV
S2E25396,,,,RV
R2M30071,PSC - DAMAGED,,,RS
R2M35252,PSC - DNR,,,RS
S2D13570,,,,RS
R2J37498,,,,MTN
S2A16602,,,,MTN
S2B23387,,,,MTN
S2B26225,,,,MTN
S2C39296,,,,MTN
R2J41468,,,,RS
R2K10473,,,,RS
R2K11351,,,,RS
R2K47423,,,,RS
R2L21577,,,ELC,RS
S2B24699,,,,RS
R2H22666,,,,RV
R2J33389,,,,RV
R2J34886,,,,RV
R2J36969,,,,RV
R2J40669,,,,RV
R2K12206,,,,RV
R2K44004,,,,RV
R2K45075,,,,RV
R2K45075,,,,RV
R2K46027,,,,RV
R2K46938,,,,RV
R2K48207,,,,RV
R2K49663,,,,RV
R2L25175,,,,RV
R2M31582,,,,RV
R2M35252,,,,RV
S2A20905,,,,RV
S2A21914,,,,RV
S2B26568,,,,RV
S2B27129,,,,RV
S2B29372,,,,RV
S2D22196,,,,RV
R2G16282,,,ELC,SM
R2G16282,,,ELC,SM
R2K10140,,,ELC,SM
R2K14801,,,,SM
R2K14801,,,,SM
R2K16092,,,,SM
R2K44886,,,,SM
R2K46330,,,ELC,SM
R2K48023,,,ELC,SM
R2K48023,,,ELC,SM
R2K48072,,,,SM
R2K48072,,,,SM
R2K48562,,,ELC,SM
R2K48562,,,ELC,SM
R2L18048,,,,SM
R2L18686,,,,SM
S2A14189,,,,SM
R2H24975,,,,RV
R2H26009,,,,RV
R2J37608,,,,RV
R2J38688,,,,RV
R2J39331,,,,RV
R2J40058,,,,RV
R2J41983,,,,RV
R2J41983,,,,RV
R2K14149,,,,RV
R2K43194,,,,RV
R2K44399,,,BODY,RV
R2K45053,,,,RV
R2K45053,,,,RV
R2K47069,,,,RV
R2K48011,,,,RV
R2L23308,,,,RV
R2L26008,,,,RV
R2M33511,,,,RV
R2M34445,,,,RV
R2M38523,,,,RV
S2A10767,,,,RV
S2A15410,,,,RV
S2B23900,,,,RV
S2B24376,,,,RV
S2B27118,,,,RV
S2C35778,,,,RV
S2C43920,,,,RV
S2D12273,,,,RV
S2D18940,,,,RV
S2D19599,,,,RV
S2D21919,,,,RV
R2F43260,,,,RS
R2K13386,,,,RS
S2B34980,,,,RS
R2K11571,,,,MTN
R2K44886,,,,MTN
R2L17092,,,,MTN
S2A13948,,,,MTN
S2A18241,,,,MTN
S2A18241,,,,MTN
S2A21422,,,,MTN
S2B25074,,,,MTN
S2B25074,,,,MTN
S2B28093,,,,MTN
S2B32885,,,,MTN
S2C40372,,,,MTN
S2C41173,,,,MTN
R2G11799,,,,SM
R2G11799,,,,SM
R2H23754,,,,SM
R2J37127,,,,SM
R2K12660,,,,SM
R2L22866,,,,SM
R2M30865,,,,SM
S2A14049,,,,SM
S2A17129,,,,SM
S2B30935,,,,SM
S2B31519,,,,SM
R2G18381,,,PDT,RV
R2H25902,,,,RV
R2H30019,,,,RV
R2J35803,,,,RV
R2J41736,,,,RV
R2J41954,,,,RV
R2J42048,,,,RV
R2K14500,,,ELC,RV
R2K42914,,,,RV
R2K43054,,,,RV
R2K45466,,,,RV
R2K46226,,,,RV
R2K46472,,,,RV
R2K46482,,,,RV
R2K48046,,,,RV
R2K49098,,,ELC,RV
R2K50008,,,,RV
R2L22554,,,,RV
R2L23293,,,,RV
R2L25781,,,,RV
R2L26128,,,,RV
R2L27138,,,,RV
R2L27162,,,,RV
R2L28161,,,,RV
R2M33935,,,,RV
R2M34635,,,,RV
R2M35142,,,,RV
R2M39279,,,,RV
S2A14399,,,,RV
S2B28304,,,,RV
R2G15711,,,,RS
R2J36106,,,,RS
R2J36310,,,,RS
R2J39878,,,,RS
R2K12159,,,,RS
R2K13092,,,,RS
R2K47134,,,,RS
R2L20955,,,,RS
R2M32383,,,,RS
S2C37936,,,ELC,PSC
S2D16458,,,,PSC
R2J32284,,,,MTN
R2J41954,,,,MTN
R2J42450,,,,MTN
R2L17092,,,,MTN
R2M28758,,,,MTN
R2M28758,,,,MTN
R2M35388,,,,MTN
S2A10029,,,,MTN
S2A10029,,,,MTN
S2A11366,,,,MTN
S2A11826,,,,MTN
S2B26930,,,,MTN
S2B29472,,,,MTN
S2B31143,,,,MTN
S2C37285,,,,MTN
S2C37285,,,,MTN
S2C47978,,,,MTN
S2C47989,,,,MTN
R2J39587,,,,RV
S2C40377,,,,RV
S2B27010,,,,RV
R2K14493,,,,RS
S2C41610,,,,MTN
S2B24820,,,,SM
R2H26528,,,,RV
R2J35882,,,,RV
R2J36574,,,,RV
R2J36574,,,,RV
R2J36776,,,,RV
R2J37100,,,,RV
R2J38697,,,,RV
R2K43495,,,,RV
R2K48530,,,,RV
R2L19099,,,,RV
R2L26716,,,,RV
R2M30257,,,,RV
R2M37269,,,,RV
R2M37822,,,,RV
S2A15251,,,ELC,RV
S2A18962,,,,RV
S2C44836,,,,RV
S2D15787,,,,RV
R2J37566,,,,PSC
R2K45307,,,,PSC
S2C36921,,,,MTN
S2C44486,,,,MTN
S2D13843,,,,MTN
R2H30119,,,,SM
R2J32044,,,,SM
R2J32495,,,,SM
R2K10656,,,,SM
R2K11676,,,,SM
R2K47196,,,,SM
R2K49832,,,,SM
R2L17616,,,,SM
R2L18601,,,,SM
R2L19083,,,ELC,SM
R2L19122,,,,SM
R2L24159,,,,SM
R2L24780,,,,SM
S2A13902,,,,SM
S2A16890,,,,SM
S2A16951,,,,SM
S2A17443,,,,SM
S2A20720,,,,SM
S2A20720,,,,SM
S2B25737,,,,SM
S2B29730,,,,SM
S2B33500,,,,SM
S2C39674,,,ELC,SM
S2C47251,,,,SM
R2H24198,,,,RV
R2H27543,,,ELC,RV
R2J31601,,,ELC,RV
R2J31601,,,ELC,RV
R2K11772,,,ELC,RV
R2K43562,,,,RV
R2M39034,,,,RV
R2M39440,,,,RV
S2A11878,,,,RV
S2A11878,,,,RV
S2A13974,,,,RV
S2B27244,,,,RV
S2C46885,,,ELC,RV
R2H25560,,,,RS
S2A18482,,,,RS
S2D12778,,,,RS
R2M39189,,,,PSC
R2H27574,,,,MTN
R2J37498,,,,MTN
R2J37498,,,,MTN
R2J38970,,,,MTN
R2L27138,,,,MTN
S2B23900,,,,MTN
S2B23900,,,,MTN
S2B31292,,,,MTN
S2B31292,,,,MTN
S2D15857,,,,MTN
R2M31198,,,,SM
R2M31198,,,,SM
S2B30754,,,,SM
S2C42550,,,,SM
S2C47588,,,,SM
S2B31133,,,,RV
R2M31198,,,,RS
S2C42550,,,,MTN
R2H28788,,,,SM
R2K10697,,,,SM
R2K11798,,,,SM
R2K43978,,,,SM
R2K45857,,,,SM
R2K45895,,,BODY,SM
R2K46472,,,,SM
R2K46816,,,,SM
R2K48068,,,,SM
R2L19562,,,,SM
R2L25497,,,,SM
R2M29766,,,,SM
R2M31082,,,,SM
R2M34238,,,,SM
S2A14538,,,,SM
S2B26704,,,,SM
S2B30717,,,,SM
R2H25365,,,,RV
R2H27142,,,,RV
R2H27142,,,,RV
R2J32456,,,,RV
R2J38350,,,,RV
R2J40189,,,,RV
R2J40517,,,,RV
R2J40790,,,,RV
R2J40790,,,,RV
R2K14087,,,,RV
R2K14087,,,,RV
R2K43595,,,,RV
R2K44672,,,,RV
R2K46083,,,,RV
R2K49227,,,,RV
R2L20762,,,,RV
S2A11874,,,,RV
S2A17030,,,,RV
S2C46613,,,,RV
S2D12164,,,,RV
R2L16962,,,BODY,RS
R2M28956,,,,RS
R2M29974,,,,RS
S2A14514,,,,RS
S2A18510,,,BODY,RS
S2B27957,,,,RS
R2K48935,,,,MTN
S2C40165,,,,MTN
S2D16416,,,,MTN
R2G12260,ANALYSIS SCRAP,,,SM
R2H29313,ANALYSIS SCRAP,,,SM
R2J37806,ANALYSIS SCRAP,,,SM
R2J40039,ANALYSIS SCRAP,,,SM
R2K44814,ANALYSIS SCRAP,,,SM
